Num_question,Num_equation,Num_diagram,Report,Coding,Days_left,Predicted_time
6,3,3,1,0,1,363
9,2,1,0,0,2,339
8,4,3,1,1,6,456
3,2,3,0,0,6,164
4,1,1,0,0,13,216
6,5,1,0,1,7,271
9,3,2,0,0,6,291
4,4,3,1,0,13,375
3,4,3,1,1,0,238
7,3,1,1,0,6,207
9,2,1,0,1,3,418
2,4,1,1,0,10,181
2,4,2,0,0,13,241
4,5,3,0,1,0,273
6,2,3,1,0,6,394
4,2,2,1,1,15,304
5,2,3,1,1,4,378
5,2,3,1,0,3,212
7,2,3,0,1,6,248
9,2,2,0,1,0,221
7,2,2,1,0,8,279
10,4,1,1,1,2,560
7,5,2,0,1,4,271
9,3,2,0,1,11,547
1,5,2,0,0,14,181
6,3,1,1,0,8,333
4,3,1,1,1,5,321
1,2,1,1,1,11,181
9,4,3,0,1,13,597
5,5,1,0,1,15,440
6,3,2,0,1,7,301
2,3,3,1,0,1,183
5,5,3,1,1,15,476
7,3,2,0,1,12,297
4,5,2,0,1,0,304
4,2,3,0,1,8,187
6,1,2,0,0,8,222
10,1,3,0,0,5,371
3,4,2,1,1,12,287
2,2,3,0,0,2,188
1,4,1,1,0,0,128
2,2,3,0,0,10,221
6,5,3,1,1,6,431
4,1,2,0,1,15,173
8,3,3,1,0,12,444
8,2,2,1,0,1,275
9,1,1,1,1,7,254
4,2,2,0,1,4,178
2,4,1,1,1,3,228
9,5,3,1,1,1,567
2,3,3,1,0,8,249
7,2,2,0,0,12,286
6,2,3,1,1,4,384
8,5,1,0,1,2,302
6,5,2,0,1,8,268
6,5,1,0,1,13,437
1,4,2,1,0,1,173
4,3,2,1,1,5,357
8,3,2,0,1,14,456
2,2,1,1,0,0,106
7,4,3,1,0,2,358
6,2,1,0,1,11,286
8,3,3,0,0,12,454
4,4,3,1,0,12,352
9,1,2,1,1,3,456
1,5,1,1,1,3,211
2,2,1,1,0,9,246
7,2,1,1,0,1,252
3,2,3,1,1,8,261
7,1,2,1,1,7,319
2,4,3,0,0,14,225
8,2,2,0,1,4,230
6,3,1,0,1,14,348
4,3,1,0,0,3,143
4,5,2,0,0,4,328
3,2,3,1,0,9,260
3,1,1,0,1,6,178
8,2,1,0,1,10,444
5,4,2,1,1,3,348
4,5,2,0,0,6,198
3,4,3,1,0,9,259
3,1,1,1,0,3,175
1,1,1,0,0,13,152
6,1,1,1,0,15,247
1,5,3,1,0,9,260
6,2,1,1,0,0,253
5,1,1,1,0,2,165
9,2,3,0,1,13,381
5,2,2,1,0,10,217
3,3,2,1,0,6,220
10,3,2,0,1,6,415
3,2,2,0,0,1,137
10,3,2,1,0,12,408
6,1,1,0,0,0,149
1,1,1,1,1,14,237
4,1,2,0,1,3,140
6,1,3,1,0,4,310
6,3,1,1,0,3,161
8,2,1,1,1,7,281
8,5,1,0,0,1,331
4,3,1,1,1,6,247
10,3,2,1,0,15,471
7,4,1,1,0,3,243
1,3,3,1,1,4,223
8,5,3,0,0,7,387
5,3,2,1,1,5,229
8,5,3,1,1,13,570
3,4,1,1,1,7,285
4,2,2,0,0,0,118
1,3,1,0,0,15,96
8,3,3,1,1,10,347
1,5,3,0,1,8,225
1,5,2,0,0,11,164
